"Dialog Semiconductor PLC Registered Shares LS -,10(WKN: 927200 Börse: Tradegate)"

"Datum";"Zeit";"Eröffnung";"Hoch";"Tief";"Schluss";"Volumen"
"19.03.2019";"10:04";"27,28";"27,29";"27,28";"27,29";"600,00"
"19.03.2019";"09:53";"27,29";"27,29";"27,29";"27,29";"260,00"
"19.03.2019";"09:03";"26,96";"26,96";"26,96";"26,96";"100,00"
"19.03.2019";"08:30";"27,04";"27,12";"26,96";"27,12";"610,00"
"18.03.2019";"22:01";"27,04";"27,04";"27,04";"27,04";"0,00"
"18.03.2019";"21:56";"26,94";"26,94";"26,94";"26,94";"20,00"
"18.03.2019";"20:42";"27,00";"27,14";"27,00";"27,14";"80,00"
"18.03.2019";"20:02";"27,04";"27,08";"27,04";"27,08";"120,00"
"18.03.2019";"18:01";"27,05";"27,24";"27,05";"27,05";"861,00"
"18.03.2019";"17:43";"27,24";"27,25";"27,24";"27,25";"280,00"
"18.03.2019";"17:05";"27,09";"27,11";"27,09";"27,11";"220,00"
"18.03.2019";"16:38";"27,14";"27,14";"27,11";"27,11";"2.165,00"
"18.03.2019";"16:14";"27,23";"27,24";"27,18";"27,18";"465,00"
"18.03.2019";"15:43";"27,24";"27,28";"27,24";"27,26";"2.350,00"
"18.03.2019";"15:19";"27,22";"27,22";"27,22";"27,22";"40,00"
"18.03.2019";"14:32";"27,18";"27,21";"27,18";"27,21";"19,00"
"18.03.2019";"14:04";"27,03";"27,14";"27,03";"27,14";"3.057,00"
"18.03.2019";"13:03";"26,98";"26,98";"26,98";"26,98";"300,00"
"18.03.2019";"12:36";"27,08";"27,08";"26,98";"26,98";"450,00"
"18.03.2019";"12:24";"27,10";"27,10";"27,07";"27,07";"510,00"
"18.03.2019";"11:32";"27,10";"27,15";"27,04";"27,15";"6.158,00"
"18.03.2019";"11:19";"26,99";"26,99";"26,99";"26,99";"100,00"
"18.03.2019";"10:30";"27,13";"27,15";"27,13";"27,14";"397,00"
"18.03.2019";"10:02";"27,28";"27,28";"27,00";"27,00";"866,00"
"18.03.2019";"09:36";"27,10";"27,16";"27,10";"27,16";"1.230,00"
"18.03.2019";"09:00";"26,87";"27,04";"26,87";"26,93";"1.194,00"
"18.03.2019";"08:48";"26,71";"26,82";"26,71";"26,82";"850,00"
"18.03.2019";"08:00";"26,60";"26,70";"26,60";"26,70";"1.006,00"
"15.03.2019";"22:01";"26,81";"26,81";"26,81";"26,81";"0,00"
"15.03.2019";"21:47";"26,86";"26,86";"26,80";"26,80";"974,00"
"15.03.2019";"21:28";"26,86";"26,86";"26,86";"26,86";"25,00"
"15.03.2019";"20:35";"26,94";"26,94";"26,86";"26,86";"64,00"
"15.03.2019";"20:12";"26,90";"26,90";"26,90";"26,90";"200,00"
"15.03.2019";"19:39";"26,86";"26,86";"26,86";"26,86";"60,00"
"15.03.2019";"19:19";"26,95";"26,95";"26,95";"26,95";"250,00"
"15.03.2019";"18:30";"26,88";"26,95";"26,88";"26,95";"2.053,00"
"15.03.2019";"18:27";"26,89";"26,89";"26,89";"26,89";"120,00"
"15.03.2019";"17:40";"26,88";"26,88";"26,88";"26,88";"40,00"
"15.03.2019";"17:07";"26,90";"26,90";"26,90";"26,90";"100,00"
"15.03.2019";"15:04";"26,88";"26,88";"26,80";"26,83";"502,00"
"15.03.2019";"14:49";"26,90";"26,90";"26,90";"26,90";"55,00"
"15.03.2019";"14:04";"26,50";"26,58";"26,50";"26,58";"291,00"
"15.03.2019";"13:45";"26,63";"26,63";"26,61";"26,61";"550,00"
"15.03.2019";"13:19";"26,66";"26,66";"26,66";"26,66";"92,00"
"15.03.2019";"12:20";"26,62";"26,62";"26,60";"26,60";"320,00"
"15.03.2019";"11:36";"26,78";"26,78";"26,71";"26,71";"320,00"
"15.03.2019";"10:19";"26,55";"26,55";"26,55";"26,55";"500,00"
"15.03.2019";"09:42";"26,68";"26,74";"26,68";"26,74";"775,00"
"15.03.2019";"09:03";"26,54";"26,70";"26,50";"26,65";"1.889,00"
"15.03.2019";"08:33";"26,74";"26,99";"26,74";"26,99";"2.400,00"
"15.03.2019";"08:00";"26,55";"26,55";"26,55";"26,55";"400,00"

